question,answer,category,article_reference,source,year_passed
Are foreign investors protected in Cameroon? (version 1),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 2),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 3),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 4),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 5),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 6),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 7),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 8),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 9),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 10),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 11),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 12),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 13),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 14),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 15),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 16),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 17),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 18),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 19),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 20),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 21),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 22),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 23),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 24),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 25),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 26),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 27),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 28),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 29),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 30),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 31),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 32),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 33),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 34),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 35),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 36),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 37),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 38),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 39),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 40),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 41),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
Are foreign investors protected in Cameroon? (version 42),"Yes, Cameroon offers investment guarantees through its Investment Charter.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 43),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
How do I register a company in Cameroon? (version 44),"Company registration is handled through the Guichet Unique, following OHADA and national commercial laws.",Business Law,Varies,National Law / Official Gazette,2002
